Ticker,CIK,Security,Added/Removed,Date Added,Date Removed,Reason
FTV,,Fortive Corp,Added,7/5/2016,,CPGX acquired by TRP[9]
LNT,,Alliant Energy Corp,Added,7/1/2016,,GAS acquired by SO[10]
ALB,,Albemarle Corp,Added,7/1/2016,,TE acquired by EMA[11]
FBHS,,Fortune Brands Home & Security,Added,6/22/2016,,CVC acquired by Altice NV[12]
TDG,,TransDigm Group,Added,6/3/2016,,SHPG acquiring BXLT[13]
AJG,,Arthur J. Gallagher & Co.,Added,5/31/2016,,CCE merging with European bottlers[14]
LKQ,,LKQ Corporation,Added,5/23/2016,,ARG acquired by Air Liquide[15]
DLR,,Digital Realty Trust,Added,5/18/2016,,TWC acquired by CHTR[16]
ALK,,Alaska Air Group Inc,Added,5/13/2016,,SNDK acquired by WDC[17]
AYI,,Acuity Brands Inc,Added,5/3/2016,,ADT acquired by APOæ[18]
SPGI,,"S&P Global, Inc.",Added,4/27/2016,,"McGraw Hill Financial, Inc. rebrands as S&P Global, Inc.æ[19]"
GPN,,Global Payments,Added,4/25/2016,,Global Payments is acquiring Heartland Payment Systemsæ[20]
ULTA,,"Ulta Salon, Cosmetics & Fragrance Inc",Added,4/18/2016,,Ulta replaces Tenet[21]
FL,,Foot Locker Inc,Added,4/4/2016,,Schlumberger acquired Cameron[22]
HOLX,,Hologic Inc,Added,3/30/2016,,Exelon Corp acquired Pepco[23]
CNC,,Centene Corporation,Added,3/30/2016,,Centene acquired Health Net[23]
UDR,,UDR Inc,Added,3/7/2016,,JAB Holding Company acquired Keurig Green Mountain[24]
AWK,,American Water Works Company Inc,Added,3/4/2016,,AWK replaces CNX[25]
CXO,,Concho Resources,Added,2/22/2016,,PCL taken over by WY[26]
CFG,,Citizens Financial Group,Added,2/1/2016,,CFG replaces PCP[27]
FRT,,Federal Realty Investment Trust,Added,2/1/2016,,FRT replaces BRCM[28]
EXR,,Extra Space Storage,Added,1/19/2016,,EXR replaces CB[29]
CB,,Chubb Limited,Added,1/19/2016,,ACE Limited changes name to Chubb Limitedæ[30]
WLTW,,Willis Towers Watson,Added,1/5/2016,,WSH merges with TW (and renames to WLTW)[31]
CHD,,Church & Dwight,Added,12/29/2015,,ALTR taken over by INTC[32]
CMCSA,,Comcast A Corp,Added,12/15/2015,,CMCSK shares reclassified as CMCSA[33]
CSRA,,CSRA Inc,Added,12/1/2015,,CSC spins off CSRA[34]
ILMN,,Illumina Inc,Added,11/19/2015,,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[35]
SYF,,Synchrony Financial,Added,11/18/2015,,GE spinning off Synchrony Financial[36]
HPE,,Hewlett Packard Enterprise,Added,11/2/2015,,HPQ spins off HPE[37]
VRSK,,Verisk Analytics,Added,10/7/2015,,Market capitalization change.[38]
UAL,,United Continental Holdings,Added,9/2/2015,,Hospira taken over[39]
ATVI,,Activision Blizzard,Added,8/28/2015,,Pall taken over[40]
SIG,,Signet Jewelers,Added,7/29/2015,,DirectTV acquired by AT&T[41]
PYPL,,PayPal,Added,7/20/2015,,PayPal Spun off by eBay[42]
AAP,,Advance Auto Parts,Added,7/8/2015,,Family Dollar Acquired.[43]
CPGX,,Columbia Pipeline Group Inc.,Added,7/2/2015,,Spin off of Columbia Pipeline.[44]
JBHT,,J. B. Hunt,Added,7/1/2015,,Integris taken over.[45]
BXLT,,Baxalta,Added,7/1/2015,,Baxalta spun off by Baxter.[46]
QRVO,,Qorvo,Added,6/11/2015,,Lorillard Inc. gets acquired.[47]
O,,Realty Income Corporation,Added,4/7/2015,,Market capitalization change.[48]
AAL,,American Airlines Group,Added,3/23/2015,,Allergan acquired by Actavis plc.[49]
EQIX,,Equinix,Added,3/23/2015,,Market Capitalization Changes.[50]
SLG,,SL Green Realty,Added,3/23/2015,,Market Capitalization Changes.[50]
HBI,,Hanesbrands,Added,3/23/2015,,Market Capitalization Changes.[50]
HSIC,,Henry Schein,Added,3/18/2015,,Carefusion acquired by Becton Dickinson[51]
SWKS,,Skyworks Solutions Inc.,Added,3/12/2015,,PetSmart acquired by private equity consortium[52]
HCA,,HCA Holdings,Added,1/27/2015,,Safeway acquired by private equity consortium[53]
ENDP,,Endo International,Added,1/27/2015,,Covidien acquired by Medtronic[54]
RCL,,Royal Caribbean Cruises Ltd,Added,12/5/2014,,Market cap changes[55]
LVLT,,Level 3 Communications,Added,11/5/2014,,Market cap changes[56]
URI,,United Rentals,Added,9/20/2014,,Market cap changes[57]
UHS,,Universal Health Services,Added,9/20/2014,,Market cap changes[57]
MNK,,Mallinckrodt Plc,Added,8/18/2014,,Market cap changes[58]
DISCK,,Discovery Communications,Added,8/6/2014,,Class C share distribution[59]
MLM,,Martin Marietta Materials,Added,7/2/2014,,Market capitalization changes[60]
AMG,,Affiliated Managers Group Inc,Added,7/1/2014,,Actavis acquires Forrest Laboratories[61]
XEC,,Cimarex Energy,Added,6/20/2014,,Market capitalization changes[62]
AVGO,,Avago Technologies,Added,5/8/2014,,Avago acquires LSI[63]
UA,,Under Armour,Added,5/1/2014,,Beam acquired by Suntory[64]
NAVI,,Navient,Added,5/1/2014,,Navient Spun off from SLM[64]
GOOGL,,Google Inc.,Added,4/3/2014,,Google Class C share distribution[65]
ESS,,Essex Property Trust Inc,Added,4/2/2014,,Market capitalization changes[66]
GMCR,,Keurig Green Mountain,Added,3/21/2014,,Market capitalization changes[67]
TSCO,,Tractor Supply Company,Added,1/24/2014,,Life Technologies acquired by Thermo Fisher Scientific Inc[68]
ADS,,Alliance Data Systems,Added,12/21/2013,,Market capitalization changes[69]
MHK,,Mohawk Industries,Added,12/21/2013,,Market capitalization changes[69]
FB,,Facebook,Added,12/21/2013,,Market capitalization changes[69]
GGP,,General Growth Properties Inc.,Added,12/10/2013,,MOLX acquired by Koch Industries[70]
ALLE,,Allegion,Added,12/2/2013,,Allegion spun off by Ingersoll Rand[71]
KORS,,Michael Kors,Added,11/13/2013,,ICE Exchange acquired NYSE Euronext[72]
RIG,,Transocean,Added,10/21/2013,,Dell acquired by private equity consortium[73]
VRTX,,Vertex Pharmaceuticals,Added,9/20/2013,,Market capitalization changes[74]
AME,,Ametek,Added,9/20/2013,,Market capitalization changes[74]
DAL,,Delta Air Lines,Added,9/10/2013,,BMC taken private by consortium[75]
NLSN,,Nielsen Holdings,Added,7/8/2013,,Softbank consortium purchase results in public float below 50%[76]
FOXA,,21st Century Fox,Added,6/28/2013,,Apollo Group's market cap more representative of a mid-cap[77]
ZTS,,Zoetis,Added,6/21/2013,,Zoetis spun off by Pfizer[78]
GM,,General Motors,Added,6/6/2013,,HNZ acquired by consortium[79]
KSU,,Kansas City Southern,Added,5/23/2013,,DF too small after spinoff of White Wave Foods[80]
MAC,,Macerich,Added,5/8/2013,,Acquired by Aetna (AET)[81]
REGN,,Regeneron,Added,4/30/2013,,A majority of MetroPCS was acquired by T-Mobile[82]
PVH,,PVH Corp.,Added,2/15/2013,,Market capitalization changes[83]
ABBV,,AbbVie,Added,12/31/2012,,ABBV spun off from Abbott Labs (ABT)[84]
DLPH,,Delphi Automotive,Added,12/21/2012,,TIE acquired by Precision Cast Parts (PCP)[85]
GRMN,,Garmin Ltd.,Added,12/11/2012,,Market capitalization changes[86]
DG,,Dollar General,Added,12/3/2012,,Acquired by Eaton Corp. (ETN)[87]
PETM,,"PetSmart, Inc.",Added,10/10/2012,,Acquired by Energy Transfer Partners (ETP)[88]
KRFT,,Kraft Foods Group,Added,10/2/2012,,Kraft split into two companies[89]
ADT,,ADT Corp,Added,10/1/2012,,Tyco spun off ADT[90]
PNR,,Pentair Ltd.,Added,10/1/2012,,Tyco spin-off merged w/Pentair[90]
LYB,,LyondellBasell,Added,9/5/2012,,SHLD below public float threshold[91]
ESV,,Ensco plc,Added,7/31/2012,,Acquired by United Technologies (UTX)[92]
STX,,Seagate Technology,Added,7/2/2012,,Acquired by Duke Energy (DUK)[93]
MNST,,Monster Beverage,Added,6/29/2012,,Split up of Sara Lee[94]
LRCX,,Lam Research,Added,6/5/2012,,Acquired by Lam Research (LRCX)[95]
ALXN,,Alexion Pharmaceuticals,Added,5/21/2012,,Acquired by Google (GOOG)[96]
KMI,,Kinder Morgan,Added,5/17/2012,,Acquired by Kinder Morgan (KMI)[97]
PSX,,Phillips 66,Added,4/23/2012,,ConocoPhillips spun off Phillips 66[98]
FOSL,,"Fossil, Inc.",Added,4/3/2012,,Acquired by Express Scripts (ESRX)[99]
CCI,,Crown Castle International Corp.,Added,3/13/2012,,Acquired by Exelon Corp. (EXC)[100]
WPX,,WPX Energy Inc.,Added,12/31/2011,,Market capitalization changes[101]
TRIP,,TripAdvisor Inc.,Added,12/20/2011,,Expedia Inc. spun off TripAdvisor Inc.[102]
BWA,,BorgWarner Inc.,Added,12/16/2011,,Market capitalization changes[103]
PRGO,,Perrigo Co.,Added,12/16/2011,,Market capitalization changes[103]
DLTR,,Dollar Tree Inc.,Added,12/16/2011,,Market capitalization changes[103]
GAS,,AGL Resources Inc.,Added,12/12/2011,,"Nicor acquired by AGL, which retained the GAS ticker.[104]"
CBE,,Cooper Industries,Added,11/18/2011,,Janus Capital GroupÍs market capitalization is less than $1.2 billion and is no longer representative of the large cap market space.[105]
XYL,,Xylem Inc.,Added,10/31/2011,,Spun off from ITT Corp.[106]
TEL,,TE Connectivity Ltd.,Added,10/14/2011,,Acquired byæTeva Pharmaceutical Industriesæ(TEVA).[107]
MOS,,The Mosaic Company,Added,9/23/2011,,Acquired byæTexas Instrumentsæ(TXN).[108]
ACN,,Accenture plc,Added,7/5/2011,,Marshall & Iisley is being bought by Bank of Montreal[109]
MPC,,Marathon Petroleum Corp,Added,6/30/2011,,Market capitalization adjustments.[110]
ANR,,"Alpha Natural Resources, Inc.",Added,6/1/2011,,Alpha Natural Resources is acquiring Massey Energy in a deal expected to be completed on or about that date pending final approvals.[111]
CMG,,Chipotle,Added,4/27/2011,,Acquired private equity firms.[112]
BLK,,BlackRock,Added,4/1/2011,,Acquired by Sanofi-aventis (SNY)[113]
EW,,Edwards Lifesciences,Added,3/31/2011,,Acquired by CenturyLink[114]
COV,,Covidien Plc,Added,2/28/2011,,Acquired by Intel Corp. (INTC)[115]
JOY,,Joy Global Inc.,Added,2/25/2011,,Acquired by First Energy (FE).[116]
CVC,,Cablevision Systems Corp.,Added,12/17/2010,,Acquired by Pfizer Inc. (PFE)[117]
FFIV,,F5 Networks Inc.,Added,12/17/2010,,Market Cap changes.[118]
NFLX,,Netflix Inc.,Added,12/17/2010,,Market Cap changes.[118]
NFX,,Newfield Exploration Co.,Added,12/17/2010,,Market Cap changes.[118]
TYC,,Tyco International Ltd.,Added,8/26/2010,,Acquired by Schlumberger Ltd. (SLB)[119]
ACE,,Ace Limited,Added,7/14/2010,,Acquired by Merck KGaA (MKGAY)[120]
QEP,,QEP Resources Inc,Added,6/30/2010,,"Company split. QEP retained, but ticker changed.[121]"
KMX,,"CarMax, Inc.",Added,6/28/2010,,Acquired by ExxonMobil Inc. (XOM)[122]
CERN,,Cerner Corp.,Added,4/29/2010,,Acquired by Baker Hughes Inc. (BHI)[123]
PCLN,,Priceline.com,Added,11/3/2009,,Acquired by Merck & Co. (MRK)[124]
ARG,,Airgas Inc,Added,9/28/2009,,Redomesticated to Ireland[125]
LO,,Lorillard Inc.,Added,6/10/2008,,Market Value Decline[126]
RRC,,Range Resources,Added,12/20/2007,,Taken private[127]
JEC,,Jacobs Engineering Group,Added,10/25/2007,,Taken private[128]
AVB,,"AvalonBay Communities, Inc.",Added,1/10/2007,,Acquired by Motorola[129]
INTU,,Intuit,Added,12/5/2000,,Market Cap changes.[130]
SBL,,Symbol Technologies,Added,12/5/2000,,Market Cap changes.[130]
AYE,,Allegheny Energy,Added,12/5/2000,,Market Cap changes.[130]
ABK,,Ambac Financial,Added,12/5/2000,,Market Cap changes.[130]
CPGX,,Columbia Pipeline Group Inc,Removed,,7/5/2016,CPGX acquired by TRP[9]
GAS,,AGL Resources,Removed,,7/1/2016,GAS acquired by SO[10]
TE,,TECO Energy,Removed,,7/1/2016,TE acquired by EMA[11]
CVC,,Cablevision Systems,Removed,,6/22/2016,CVC acquired by Altice NV[12]
BXLT,,Baxalta Inc,Removed,,6/3/2016,SHPG acquiring BXLT[13]
CCE,,Coca-Cola Enterprises,Removed,,5/31/2016,CCE merging with European bottlers[14]
ARG,,Airgas Inc,Removed,,5/23/2016,ARG acquired by Air Liquide[15]
TWC,,Time Warner Cable,Removed,,5/18/2016,TWC acquired by CHTR[16]
SNDK,,SanDisk Corporation,Removed,,5/13/2016,SNDK acquired by WDC[17]
ADT,,ADT Corp,Removed,,5/3/2016,ADT acquired by APOæ[18]
MHFI,,"McGraw Hill Financial, Inc.",Removed,,4/27/2016,"McGraw Hill Financial, Inc. rebrands as S&P Global, Inc.æ[19]"
GME,,GameStop,Removed,,4/25/2016,Global Payments is acquiring Heartland Payment Systemsæ[20]
THC,,Tenet Healthcare,Removed,,4/18/2016,Ulta replaces Tenet[21]
CAM,,Cameron International,Removed,,4/4/2016,Schlumberger acquired Cameron[22]
POM,,Pepco Holdings Inc,Removed,,3/30/2016,Exelon Corp acquired Pepco[23]
ESV,,Ensco plc,Removed,,3/30/2016,Centene acquired Health Net[23]
GMCR,,Keurig Green Mountain,Removed,,3/7/2016,JAB Holding Company acquired Keurig Green Mountain[24]
CNX,,Consol Energy,Removed,,3/4/2016,AWK replaces CNX[25]
PCL,,Plum Creek Timber,Removed,,2/22/2016,PCL taken over by WY[26]
PCP,,Precision Castparts Corp.,Removed,,2/1/2016,CFG replaces PCP[27]
BRCM,,Broadcom Corporation,Removed,,2/1/2016,FRT replaces BRCM[28]
CB,,Chubb Corp,Removed,,1/19/2016,EXR replaces CB[29]
ACE,,ACE Limited,Removed,,1/19/2016,ACE Limited changes name to Chubb Limitedæ[30]
FOSL,,Fossil Group,Removed,,1/5/2016,WSH merges with TW (and renames to WLTW)[31]
ALTR,,Altera Corp,Removed,,12/29/2015,ALTR taken over by INTC[32]
CMCSK,,Comcast K Corp,Removed,,12/15/2015,CMCSK shares reclassified as CMCSA[33]
CSC,,Computer Sciences Corp,Removed,,12/1/2015,CSC spins off CSRA[34]
SIAL,,Sigma-Aldrich Corp,Removed,,11/19/2015,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[35]
GNW,,Genworth Financial,Removed,,11/18/2015,GE spinning off Synchrony Financial[36]
HCBK,,Hudson City Bancorp Inc,Removed,,11/2/2015,HPQ spins off HPE[37]
JOY,,Joy Global,Removed,,10/7/2015,Market capitalization change.[38]
HSP,,Hospira Inc,Removed,,9/2/2015,Hospira taken over[39]
PLL,,Pall Corp,Removed,,8/28/2015,Pall taken over[40]
DTV,,DirecTV,Removed,,7/29/2015,DirectTV acquired by AT&T[41]
NE,,Noble Corp,Removed,,7/20/2015,PayPal Spun off by eBay[42]
FDO,,Family Dollar Stores Inc.,Removed,,7/8/2015,Family Dollar Acquired.[43]
ATI,,Allegheny Technologies,Removed,,7/2/2015,Spin off of Columbia Pipeline.[44]
TEG,,Integrys Energy Group Inc.,Removed,,7/1/2015,Integris taken over.[45]
QEP,,QEP Resources,Removed,,7/1/2015,Baxalta spun off by Baxter.[46]
LO,,Lorillard Inc.,Removed,,6/11/2015,Lorillard Inc. gets acquired.[47]
WIN,,Windstream Holdings Inc,Removed,,4/7/2015,Market capitalization change.[48]
AGN,,Allergan,Removed,,3/23/2015,Allergan acquired by Actavis plc.[49]
DNR,,Denbury Resources,Removed,,3/23/2015,Market Capitalization Changes.[50]
NBR,,Nabors Industries,Removed,,3/23/2015,Market Capitalization Changes.[50]
AVP,,Avon Products,Removed,,3/23/2015,Market Capitalization Changes.[50]
CFN,,Carefusion,Removed,,3/18/2015,Carefusion acquired by Becton Dickinson[51]
PETM,,PetSmart Inc.,Removed,,3/12/2015,PetSmart acquired by private equity consortium[52]
SWY,,Safeway Inc,Removed,,1/27/2015,Safeway acquired by private equity consortium[53]
COV,,Covidien,Removed,,1/27/2015,Covidien acquired by Medtronic[54]
BMS,,Bemis Company,Removed,,12/5/2014,Market cap changes[55]
JBL,,Jabil Circuit,Removed,,11/5/2014,Market cap changes[56]
BTU,,Peabody Energy,Removed,,9/20/2014,Market cap changes[57]
GHC,,Graham Holdings,Removed,,9/20/2014,Market cap changes[57]
RDC,,Rowan Companies Plc,Removed,,8/18/2014,Market cap changes[58]
,,,Removed,,8/6/2014,Class C share distribution[59]
X,,United States Steel Corporation,Removed,,7/2/2014,Market capitalization changes[60]
FRX,,Forest Laboratories,Removed,,7/1/2014,Actavis acquires Forrest Laboratories[61]
IGT,,International Game Technology,Removed,,6/20/2014,Market capitalization changes[62]
LSI,,LSI Corporation,Removed,,5/8/2014,Avago acquires LSI[63]
BEAM,,Beam Inc.,Removed,,5/1/2014,Beam acquired by Suntory[64]
SLM,,SLM Corporation,Removed,,5/1/2014,Navient Spun off from SLM[64]
,,,Removed,,4/3/2014,Google Class C share distribution[65]
CLF,,Cliffs Natural Resources,Removed,,4/2/2014,Market capitalization changes[66]
WPX,,WPX Energy Inc,Removed,,3/21/2014,Market capitalization changes[67]
LIFE,,Life Technologies,Removed,,1/24/2014,Life Technologies acquired by Thermo Fisher Scientific Inc[68]
ANF,,Abercrombie & Fitch,Removed,,12/21/2013,Market capitalization changes[69]
JDSU,,JDS Uniphase,Removed,,12/21/2013,Market capitalization changes[69]
TER,,Teradyne,Removed,,12/21/2013,Market capitalization changes[69]
MOLX,,Molex Inc.,Removed,,12/10/2013,MOLX acquired by Koch Industries[70]
JCP,,J.C. Penney,Removed,,12/2/2013,Allegion spun off by Ingersoll Rand[71]
NYX,,NYSE Euronext,Removed,,11/13/2013,ICE Exchange acquired NYSE Euronext[72]
DELL,,"Dell, Inc.",Removed,,10/21/2013,Dell acquired by private equity consortium[73]
AMD,,Advanced Micro Devices,Removed,,9/20/2013,Market capitalization changes[74]
SAIC,,SAIC,Removed,,9/20/2013,Market capitalization changes[74]
BMC,,BMC Software,Removed,,9/10/2013,BMC taken private by consortium[75]
S,,Sprint Nextel Corp.,Removed,,7/8/2013,Softbank consortium purchase results in public float below 50%[76]
APOL,,Apollo Group Inc.,Removed,,6/28/2013,Apollo Group's market cap more representative of a mid-cap[77]
FHN,,First Horizon,Removed,,6/21/2013,Zoetis spun off by Pfizer[78]
HNZ,,H. J. Heinz Company,Removed,,6/6/2013,HNZ acquired by consortium[79]
DF,,Dean Foods,Removed,,5/23/2013,DF too small after spinoff of White Wave Foods[80]
CVH,,Coventry Health Care,Removed,,5/8/2013,Acquired by Aetna (AET)[81]
PCS,,MetroPCS,Removed,,4/30/2013,A majority of MetroPCS was acquired by T-Mobile[82]
BIG,,Big Lots Inc.,Removed,,2/15/2013,Market capitalization changes[83]
FII,,Federated Investors,Removed,,12/31/2012,ABBV spun off from Abbott Labs (ABT)[84]
TIE,,Titanium Metals,Removed,,12/21/2012,TIE acquired by Precision Cast Parts (PCP)[85]
RRD,,R.R. Donnelley,Removed,,12/11/2012,Market capitalization changes[86]
CBE,,Cooper Industries,Removed,,12/3/2012,Acquired by Eaton Corp. (ETN)[87]
SUN,,Sunoco Inc.,Removed,,10/10/2012,Acquired by Energy Transfer Partners (ETP)[88]
ANR,,Alpha Natural Resources,Removed,,10/2/2012,Kraft split into two companies[89]
LXK,,Lexmark Int'l Inc,Removed,,10/1/2012,Tyco spun off ADT[90]
DV,,"DeVry, Inc.",Removed,,10/1/2012,Tyco spin-off merged w/Pentair[90]
SHLD,,Sears Holding Corporation,Removed,,9/5/2012,SHLD below public float threshold[91]
GR,,Goodrich Corporation,Removed,,7/31/2012,Acquired by United Technologies (UTX)[92]
PGN,,Progress Energy Inc,Removed,,7/2/2012,Acquired by Duke Energy (DUK)[93]
SLE,,Sara Lee Corp.,Removed,,6/29/2012,Split up of Sara Lee[94]
NVLS,,Novellus Systems,Removed,,6/5/2012,Acquired by Lam Research (LRCX)[95]
MMI,,Motorola Mobility,Removed,,5/21/2012,Acquired by Google (GOOG)[96]
EP,,El Paso Corp.,Removed,,5/17/2012,Acquired by Kinder Morgan (KMI)[97]
SVU,,Supervalu Inc.,Removed,,4/23/2012,ConocoPhillips spun off Phillips 66[98]
MHS,,Medco Health Solutions Inc.,Removed,,4/3/2012,Acquired by Express Scripts (ESRX)[99]
CEG,,Constellation Energy Group,Removed,,3/13/2012,Acquired by Exelon Corp. (EXC)[100]
CPWR,,Compuware,Removed,,12/31/2011,Market capitalization changes[101]
TLAB,,Tellabs Inc.,Removed,,12/20/2011,Expedia Inc. spun off TripAdvisor Inc.[102]
AKS,,AK Steel Holding Corp.,Removed,,12/16/2011,Market capitalization changes[103]
MWW,,Monster Worldwide Inc.,Removed,,12/16/2011,Market capitalization changes[103]
WFR,,MEMC Electronic Materials Inc.,Removed,,12/16/2011,Market capitalization changes[103]
GAS,,Nicor Inc.,Removed,,12/12/2011,"Nicor acquired by AGL, which retained the GAS ticker.[104]"
JNS,,Janus Capital Group,Removed,,11/18/2011,Janus Capital GroupÍs market capitalization is less than $1.2 billion and is no longer representative of the large cap market space.[105]
ITT,,ITT Corp.,Removed,,10/31/2011,Spun off from ITT Corp.[106]
CEPH,,Cephalon Inc.,Removed,,10/14/2011,Acquired byæTeva Pharmaceutical Industriesæ(TEVA).[107]
NSM,,National Semiconductor Corp.,Removed,,9/23/2011,Acquired byæTexas Instrumentsæ(TXN).[108]
MI,,Marshall & Iisley Corp.,Removed,,7/5/2011,Marshall & Iisley is being bought by Bank of Montreal[109]
RSH,,RadioShack Corp.,Removed,,6/30/2011,Market capitalization adjustments.[110]
MEE,,Massey Energy Company,Removed,,6/1/2011,Alpha Natural Resources is acquiring Massey Energy in a deal expected to be completed on or about that date pending final approvals.[111]
NOVL,,"Novell, Inc.",Removed,,4/27/2011,Acquired private equity firms.[112]
GENZ,,Genzyme Corp.,Removed,,4/1/2011,Acquired by Sanofi-aventis (SNY)[113]
Q,,Qwest Communications,Removed,,3/31/2011,Acquired by CenturyLink[114]
MFE,,McAfee Inc.,Removed,,2/28/2011,Acquired by Intel Corp. (INTC)[115]
AYE,,Allegheny Energy Inc.,Removed,,2/25/2011,Acquired by First Energy (FE).[116]
KG,,King Pharmaceuticals Inc.,Removed,,12/17/2010,Acquired by Pfizer Inc. (PFE)[117]
EK,,Eastman Kodak Co.,Removed,,12/17/2010,Market Cap changes.[118]
ODP,,Office Depot Inc.,Removed,,12/17/2010,Market Cap changes.[118]
NYT,,The New York Times Co.,Removed,,12/17/2010,Market Cap changes.[118]
SII,,Smith International Inc.,Removed,,8/26/2010,Acquired by Schlumberger Ltd. (SLB)[119]
MIL,,Millipore Inc.,Removed,,7/14/2010,Acquired by Merck KGaA (MKGAY)[120]
STR,,Questar Corp.,Removed,,6/30/2010,"Company split. QEP retained, but ticker changed.[121]"
XTO,,XTO Energy Inc.,Removed,,6/28/2010,Acquired by ExxonMobil Inc. (XOM)[122]
BJS,,BJ Services Company,Removed,,4/29/2010,Acquired by Baker Hughes Inc. (BHI)[123]
SGP,,Schering-Plough Corp.,Removed,,11/3/2009,Acquired by Merck & Co. (MRK)[124]
CBE,,Cooper Industries Ltd.,Removed,,9/28/2009,Redomesticated to Ireland[125]
ABK,,Ambac Financial,Removed,,6/10/2008,Market Value Decline[126]
TRB,,Tribune Co.,Removed,,12/20/2007,Taken private[127]
AV,,Avaya Inc.,Removed,,10/25/2007,Taken private[128]
SBL,,Symbol Technologies,Removed,,1/10/2007,Acquired by Motorola[129]
BS,,Bethlehem Steel,Removed,,12/5/2000,Market Cap changes.[130]
OI,,Owens-Illinois,Removed,,12/5/2000,Market Cap changes.[130]
GRA,,W.R. Grace,Removed,,12/5/2000,Market Cap changes.[130]
CCK,,Crown Holdings,Removed,,12/5/2000,Market Cap changes.[130]